name,location,cuisines,rate,cost,online_order,book_table,cuisine_count
Frolic,Koramangala 7th Block,"Juices, Ice Cream",4.2,200,Yes,No,2
Maxpresso,Koramangala 7th Block,"Cafe, American, Italian, Beverages",4.1,700,No,No,4
Haji Ali Juice Centre,Koramangala 5th Block,"Beverages, Fast Food, Desserts",4.0,350,Yes,No,3
Cookie Man,Koramangala 7th Block,Bakery,4.0,150,Yes,No,1
The Chocolate Room,JP Nagar,"Cafe, Desserts",3.9,400,Yes,No,2
Juicy,Koramangala 5th Block,"Beverages, Juices, Fast Food",3.9,200,No,No,3
Cakes And Crumbs,JP Nagar,Bakery,3.4,350,No,No,1
Smooth,Bannerghatta Road,"Desserts, Ice Cream",3.7,500,Yes,No,2
Mr. Meetharam,HSR,"Mithai, Street Food",2.8,150,Yes,No,2
Flavorsome Bakes,Bannerghatta Road,"Bakery, Desserts",4.0,800,No,No,2
Ice Stone Creamery,Jayanagar,"Desserts, Ice Cream",3.7,400,Yes,No,2
Brownie Heaven,Koramangala 5th Block,Desserts,4.0,300,Yes,No,1
Iyengar's Bakery,Koramangala 6th Block,"Bakery, Fast Food",3.5,200,No,No,2
Cafe Arabica,Bannerghatta Road,"Cafe, Bakery, Arabian, Fast Food",3.8,700,No,No,4
Sri Annapoorna Bajji Center,Jayanagar,"Mithai, Street Food",3.9,100,No,No,2
Brownie Points,Koramangala 4th Block,"Bakery, Desserts",3.8,300,Yes,No,2
Lassi Corner,Koramangala 5th Block,"Beverages, Desserts",3.5,150,Yes,No,2
Bunny Bakers,Jayanagar,"Bakery, Fast Food",3.6,250,No,No,2
Cold Stone Creamery,Bannerghatta Road,"Ice Cream, Desserts",3.9,400,Yes,No,2
The Donut Baker,Koramangala 7th Block,Desserts,3.8,150,No,No,1
Tummy Fuel,Jayanagar,"Cafe, Beverages, Fast Food, Street Food",4.1,400,Yes,No,4
Food Theory,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",2.5,500,No,No,6
Karachi Bakery,Koramangala 5th Block,"Bakery, Fast Food, Desserts",3.4,400,Yes,No,3
Fudge,Jayanagar,"Desserts, Momos",3.2,200,Yes,No,2
Daily Bread,JP Nagar,"Bakery, Fast Food, Italian",3.2,600,No,No,3
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",3.7,400,Yes,No,4
INDULGE by InnerChef,Koramangala 7th Block,"Desserts, Bakery",3.5,400,Yes,No,2
Venkateshwara Sweets and Restaurant,JP Nagar,"South Indian, Mithai, Chinese, North Indian",3.6,400,No,No,4
Uday Sweets,Koramangala 5th Block,"Mithai, Fast Food",3.8,250,Yes,No,2
Multi Cakes,JP Nagar,"Bakery, Desserts",3.7,200,No,No,2
Cake Art,JP Nagar,Bakery,2.9,400,No,No,1
The Sandesh Factory,Bannerghatta Road,"Mithai, Desserts",3.2,150,No,No,2
Gruhalakshmi Home Foods,Bommanahalli,Mithai,3.3,250,Yes,No,1
Bake Addiction,JP Nagar,"Bakery, Desserts",4.1,500,Yes,No,2
Mini Forest,JP Nagar,"Fast Food, Desserts",3.3,500,No,No,2
Good Bread,JP Nagar,"Bakery, Desserts",3.6,300,No,No,2
Adi's Cake N Cafe,Bannerghatta Road,Bakery,3.3,400,No,No,1
Bake The Cake,Bommanahalli,"Bakery, Fast Food, Beverages",3.2,250,Yes,No,3
Me And My Cake,Bommanahalli,"Bakery, Desserts",3.2,500,No,No,2
Arafa Juice Center,Koramangala 5th Block,"Juices, Desserts, Fast Food",3.5,250,No,No,3
Shree Mithai,Koramangala 7th Block,"Desserts, Street Food, Mithai",3.3,150,No,No,3
Meraki Patisserie,Jayanagar,"Bakery, Desserts",3.3,350,No,No,2
Mist n Creams,Bannerghatta Road,Ice Cream,3.6,400,No,No,1
Niice Cream,Koramangala 5th Block,"Ice Cream, Beverages, Desserts",3.8,400,No,No,3
TGS Retails,HSR,"Bakery, Desserts",3.3,600,No,No,2
Cafe Choco Craze,Bannerghatta Road,"Cafe, Fast Food, Desserts",3.7,400,No,No,3
FrostBite,Koramangala 5th Block,"Desserts, Fast Food",3.5,400,No,No,2
Mother Nature Kulfi,Jayanagar,"Desserts, Ice Cream",3.6,200,No,No,2
Squeez Juice Bars,Bannerghatta Road,"Ice Cream, Juices",3.3,250,No,No,2
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",3.5,900,No,No,2
Cream N Desserts,Koramangala 7th Block,"Desserts, Beverages",3.7,400,No,No,2
Cake Yard,Koramangala 7th Block,Desserts,2.9,250,No,No,1
Sangam Sweets,Koramangala 3rd Block,"Mithai, Street Food",3.8,200,Yes,No,2
Antilla Aromas,Bannerghatta Road,"Desserts, Ice Cream",3.7,300,Yes,No,2
A2B - Adyar Ananda Bhavan,BTM,"South Indian, North Indian, Chinese, Street Food, Fast Food",3.8,400,Yes,No,5
Brother?s Bar & Kitchen,BTM,"Chinese, North Indian",3.4,1000,No,No,2
New Surya Sweets & Snacks,BTM,"Mithai, Fast Food",3.5,300,No,No,2
Zam Zam Darbar,BTM,"North Indian, Biryani, Chinese",2.9,500,No,No,3
Mayur,BTM,"Andhra, North Indian, Chinese",3.6,500,No,No,3
Golden Grill Restaurant,BTM,"Arabian, Chinese, North Indian, Kerala, Seafood",3.5,550,No,No,5
Zanzibar - Davanam Sarovar Portico Suites,BTM,Finger Food,3.5,1200,No,No,1
Cafe Coffee Day,BTM,"Cafe, Fast Food",3.3,900,No,No,2
Seekers Cafe,BTM,"Italian, Continental",3.6,500,No,No,2
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,BTM,"Biryani, North Indian",3.7,450,No,No,2
Ma-Arya Family Restaurant,BTM,"Biryani, South Indian, North Indian, Chinese, Andhra",3.1,600,No,No,5
Sri Durga Cane Fresh,BTM,"Juices, Beverages, Fast Food",3.4,100,No,No,3
Benzys,BTM,"Arabian, Chinese, Hyderabadi, Kerala",3.2,700,No,No,4
Nanna Munna,BTM,"North Indian, Chinese",3.4,200,No,No,2
Bamboo Heights,BTM,"Chinese, Fast Food, Continental",3.7,500,No,No,3
Chai Point,BTM,"Tea, Beverages, Fast Food",4.0,250,Yes,No,3
Pizza Hut,BTM,"Pizza, Fast Food",3.3,750,Yes,No,2
Kannur Food Point,BTM,"Kerala, North Indian",4.0,200,No,No,2
Ambur Star Briyani,BTM,"Biryani, Kebab",3.5,400,Yes,No,2
KFC,BTM,"Burger, Fast Food",3.9,400,Yes,No,2
Domino's Pizza,BTM,"Pizza, Fast Food",4.1,400,Yes,No,2
Faasos,BTM,"North Indian, Biryani, Fast Food",3.9,500,Yes,No,3
New Limra Hotel,BTM,"South Indian, Biryani, Fast Food",3.4,200,No,No,3
Shri Ram Sweet Centre,BTM,"Street Food, Mithai",4.0,150,No,No,2
Bangalore Star Biriyani,BTM,"Biryani, Chinese, North Indian",3.4,300,No,No,3
Kabab Magic,BTM,"North Indian, Kebab, Fast Food",3.9,500,Yes,No,3
Just Shawarma,BTM,Arabian,3.9,300,Yes,No,1
Chaatimes,BTM,"Street Food, Fast Food",3.4,200,Yes,No,2
Zeeshan,BTM,"North Indian, Mughlai, Biryani, Rolls",2.8,700,Yes,No,4
Kesar Sweet Shop and Fast Food,BTM,"North Indian, South Indian, Chinese, Street Food, Mithai",4.0,500,No,No,5
New Kabab Zone,BTM,"North Indian, Fast Food",3.5,500,No,No,2
McDonald's,BTM,"Burger, Fast Food",3.6,500,Yes,No,2
Udupi Gokul Cafe,BTM,South Indian,3.8,300,No,No,1
Sri Devi Baker's,BTM,"Bakery, Street Food",3.9,200,No,No,2
Namma Kadai,BTM,South Indian,3.4,150,No,No,1
Nellore Dosa Camp,BTM,"Andhra, South Indian",3.3,70,No,No,2
Sri Saravana Bhavan,BTM,South Indian,3.7,200,No,No,1
Gangothri Kabab Corner,BTM,North Indian,3.1,400,No,No,1
Thalassery Cafe,BTM,Street Food,3.4,150,No,No,1
Cafe 58,BTM,"Fast Food, Biryani",3.4,200,No,No,2
Five Star Chicken,BTM,Fast Food,3.5,350,Yes,No,1
Mangalore Lunch Home,BTM,"North Indian, South Indian, Mangalorean",3.6,250,Yes,No,3
Jigarthanda,BTM,"Fast Food, Desserts, Rolls",3.6,200,No,No,3
Meat And Eat,BTM,"Fast Food, Burger",3.1,500,Yes,No,2
Sri Vishnupriya,BTM,"South Indian, North Indian, Chinese",3.0,300,No,No,3
Aarya Pork Hotel,BTM,"South Indian, Biryani, Chinese",3.3,300,No,No,3
Sri Krishna Sagar,BTM,"South Indian, North Indian, Chinese",3.6,200,No,No,3
Naati Biriyani,BTM,"Kebab, Biryani",3.1,300,No,No,2
Pout,BTM,Beverages,4.0,400,No,No,1
Gelato Pazzo,BTM,Desserts,3.8,200,No,No,1
Hotel Meed Cafe,BTM,"North Indian, South Indian",3.2,250,No,No,2
Karavali Lunch Home,BTM,Kerala,3.3,200,No,No,1
Sri Udupi Sagar,BTM,South Indian,3.5,200,No,No,1
Hot Burg,BTM,"Fast Food, Juices",3.5,300,No,No,2
Ande Ka Funda,BTM,"North Indian, Fast Food, Rolls",2.8,250,No,No,3
Desi Adda,BTM,"North Indian, Chinese",3.3,300,No,No,2
Basawa Hotel,BTM,South Indian,3.4,250,No,No,1
Friend's Kitchen,BTM,"South Indian, Chinese",3.5,150,No,No,2
South Side,BTM,"South Indian, Beverages",3.3,250,No,No,2
Barkat,BTM,Kerala,3.4,250,No,No,1
C K Bake & Juice,BTM,"Juices, Street Food",3.1,150,No,No,2
Hotel Mirchi Red,BTM,"North Indian, Chinese",3.0,400,No,No,2
SGS Non Veg - Gundu Pulav,BTM,"Biryani, Fast Food",3.6,400,Yes,No,2
Gallop Bar - Davanam Sarovar Portico Suites,Koramangala 2nd Block,Finger Food,3.5,1600,No,No,1
Bombay Adda,Koramangala 7th Block,Modern Indian,4.5,1100,No,Yes,1
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American, Pizza, Finger Food",4.5,1300,No,Yes,6
Indigo XP,Koramangala 5th Block,"Finger Food, Continental, Asian, North Indian",4.3,1400,No,No,4
Fenny's Lounge And Kitchen,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",4.5,1600,No,Yes,5
Sharief Bhai,Koramangala 5th Block,"Mughlai, Biryani",4.3,700,No,Yes,2
ECHOES Koramangala,Koramangala 5th Block,"Chinese, American, Continental, Italian, North Indian",4.7,750,No,No,5
Chianti,Koramangala 5th Block,Italian,4.7,1500,No,Yes,1
Drava,Koramangala 5th Block,"Pizza, Continental, North Indian, Asian",4.4,1500,No,Yes,4
The Terrace at Gilly's Redefined,Koramangala 4th Block,"Continental, Finger Food, Asian, North Indian",4.6,1400,No,Yes,4
The Boozy Griffin,Koramangala 5th Block,"European, Continental",4.6,1800,No,Yes,2
Simon Says Brew Works,Koramangala 5th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger",4.5,1400,No,Yes,6
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",4.4,1200,No,Yes,6
Kobe Sizzlers,Koramangala 5th Block,"American, Continental, Fast Food, Steak",4.1,1000,No,Yes,4
Public - The Rooftop Bar And Kitchen,Bannerghatta Road,"North Indian, South Indian, Andhra, Chinese",4.3,1000,No,Yes,4
Al-Bek,Jayanagar,"North Indian, Mughlai, Chinese, Seafood",3.9,650,Yes,No,4
Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese",4.4,800,Yes,No,4
Chinita Real Mexican Food,Koramangala 5th Block,Mexican,4.5,1200,No,No,1
Karama Restaurant,Koramangala 5th Block,"Arabian, North Indian, Beverages",4.1,750,Yes,No,3
Sathya's,Koramangala 3rd Block,"North Indian, Chinese",4.1,1200,No,Yes,2
Rajdhani Thali Restaurant,Koramangala 7th Block,North Indian,4.0,900,Yes,Yes,1
Chung Wah,Koramangala 5th Block,"Chinese, Thai, Momos, Vietnamese",4.0,800,Yes,No,4
Mani's Dum Biryani,Koramangala 5th Block,"Biryani, Kebab",3.9,750,Yes,No,2
Tilt Gastro Lounge,Koramangala 5th Block,"Continental, American, North Indian, Chinese",4.1,1500,No,Yes,4
52 Wall Street,Koramangala 6th Block,"American, Continental, Finger Food",3.9,1400,No,No,3
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza",3.9,1000,No,Yes,4
Sutra Spice-The Resto Bar,Koramangala 4th Block,"South Indian, Andhra",3.9,1000,No,No,2
Smoke - The Sizzler House,Koramangala 7th Block,"Continental, Chinese, Thai, Italian, BBQ, Steak",4.0,1100,Yes,Yes,6
JukeBox,Koramangala 7th Block,"Continental, Parsi, Chinese, North Indian, Italian, Steak",3.9,1000,No,Yes,6
Sherlock's Pub,Koramangala 5th Block,"Continental, North Indian, Chinese",3.9,1300,No,Yes,3
Starbucks,JP Nagar,"Cafe, Desserts",4.2,700,No,No,2
Lounge 189,HSR,"Continental, Italian",3.8,1300,No,No,2
Axomi - Taste of Assam,Koramangala 7th Block,Assamese,4.0,500,Yes,No,1
Mavalli Tiffin Room (MTR),JP Nagar,South Indian,4.1,300,No,No,1
Uttar Karnataka Meals Restaurant,Jayanagar,South Indian,3.7,200,No,No,1
Leon Grill,Koramangala 5th Block,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",4.3,500,Yes,No,7
IDC Kitchen,Koramangala 5th Block,South Indian,4.2,200,No,No,1
The Underground Gastropub,Koramangala 5th Block,Finger Food,3.0,1000,No,No,1
New Prashanth Hotel,HSR,"South Indian, Biryani, Chinese, North Indian",3.1,750,Yes,No,4
Burger King,Koramangala 7th Block,"Burger, Fast Food, Beverages",3.9,600,Yes,No,3
Fandom at Gilly's Redefined,Koramangala 4th Block,Finger Food,3.8,1500,No,No,1
Atta Galata,Koramangala 5th Block,"Bakery, Fast Food",4.1,200,No,No,2
Drunken Monkey,JP Nagar,"Beverages, Fast Food",3.7,400,Yes,No,2
Banchharam,Koramangala 7th Block,"Street Food, Mithai",3.9,200,No,No,2
Taco Bell,Bannerghatta Road,"Mexican, American, Fast Food",4.0,600,Yes,No,3
Mizo Kitchen,Koramangala 5th Block,"North Eastern, Chinese",3.8,400,No,No,2
Barcode,Koramangala 4th Block,"South Indian, North Indian",3.8,1300,No,Yes,2
Udupi Upahar,Koramangala 7th Block,"South Indian, North Indian, Chinese",3.6,300,No,No,3
Amaravathi Bar & Restaurant,Jayanagar,"North Indian, Chinese, Seafood",3.7,400,No,No,3
Chetty's Corner,Koramangala 5th Block,"Fast Food, Burger",3.8,200,Yes,No,2
Taruni Andhra Mess,Koramangala 5th Block,Andhra,3.6,200,No,No,1
Flavor of Tibet,Koramangala 5th Block,Tibetan,4.0,400,No,No,1
New Ambur Biryani,Koramangala 7th Block,Biryani,3.2,150,No,No,1
Nammura Upahara,JP Nagar,South Indian,3.8,100,No,No,1
Donne Biriyani House,Jayanagar,"Biryani, Andhra, Kebab",3.5,400,Yes,No,3
Polar Bear,Jayanagar,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400,Yes,No,4
Raghavendra Upahara,Jayanagar,South Indian,3.7,200,No,No,1
Selfie Cafe,Koramangala 7th Block,"Beverages, Fast Food, Desserts",3.7,300,No,No,3
The Golden Spoon Restaurant Meat & Wine,Koramangala 7th Block,"Chinese, North Indian",3.5,1000,No,No,2
Amrit,JP Nagar,"North Indian, Seafood",3.4,600,No,No,2
Juice Fresco & Pizza,JP Nagar,"Beverages, Pizza",3.4,300,No,No,2
Shiv Sagar,Koramangala 7th Block,"Chinese, North Indian, Fast Food, Street Food",3.9,500,No,No,4
Sk Grand Hotel,Jayanagar,South Indian,3.2,400,No,No,1
Mak n Vak - Fyn,HSR,"North Indian, Chinese",3.9,500,Yes,No,2
Chung Wah Opus,JP Nagar,"Chinese, Thai",3.0,650,Yes,No,2
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",3.6,700,No,No,3
Aroma Fine Dine,HSR,"North Indian, Mughlai, Chinese, South Indian",4.0,900,Yes,Yes,4
The Hidden Cafe,Koramangala 1st Block,"North Indian, Fast Food",3.9,350,Yes,No,2
Mom's Momos,Bannerghatta Road,Chinese,3.6,100,Yes,No,1
Shuddh Desi Khana,Bannerghatta Road,North Indian,4.1,400,Yes,No,1
Tasty Bites,JP Nagar,North Indian,3.8,450,Yes,No,1
5th Main Cafe,HSR,"Cafe, Fast Food",3.5,250,No,No,2
A Bar,HSR,"North Indian, Continental",3.3,600,No,No,2
Tibbs Frankie,Koramangala 7th Block,"Street Food, Rolls",3.5,200,No,No,2
Coconadu,Koramangala 7th Block,"Kerala, Konkan",3.7,400,No,No,2
SLV Restaurant,JP Nagar,"South Indian, North Indian, Chinese",4.2,300,No,No,3
Udupi Grand,Koramangala 7th Block,"South Indian, North Indian, Chinese",2.8,300,No,No,3
CHAAI BEE,Koramangala 7th Block,"Beverages, Fast Food, Street Food",3.5,250,No,No,3
Cool Lassi Burger,Koramangala 5th Block,"Beverages, Fast Food, Burger",3.1,200,No,No,3
Malnad Military Hotel,Koramangala 7th Block,"South Indian, Chinese",3.8,500,No,No,2
Sri Vinayaka Andhra Mess,Koramangala 5th Block,Andhra,3.3,300,No,No,1
Bakimo,Koramangala 5th Block,Continental,3.5,850,No,No,1
Daily Bread,Koramangala 4th Block,"Bakery, Fast Food, Italian",2.8,600,No,No,3
Desi Dhaba,Koramangala 7th Block,"North Indian, Chinese, Rolls",3.7,300,No,No,3
Sri Krishna Sagar,Koramangala 7th Block,South Indian,3.5,300,No,No,1
Malabar Coastal Cuisine,Koramangala 7th Block,Kerala,3.6,550,No,No,1
Chai Chowk,Koramangala 7th Block,"Chinese, Fast Food",3.8,200,No,No,2
Hotel Paradise,Jayanagar,Fast Food,3.3,200,No,No,1
Waikiki,JP Nagar,"Fast Food, Beverages",3.2,200,No,No,2
H3O,Koramangala 4th Block,"North Indian, Chinese",3.3,1000,No,No,2
Ambur Biryani Hotel,Koramangala 1st Block,Biryani,3.2,200,No,No,1
Shree Nandini Andhra Mess,Koramangala 5th Block,Andhra,3.3,150,No,No,1
Juice Buzz,JP Nagar,Juices,3.1,200,No,No,1
Falafel's - The Lebanese Haus,Koramangala 7th Block,Lebanese,2.9,300,No,No,1
Dadaba's,Jayanagar,Fast Food,3.3,300,No,No,1
Cafe Bollywood,JP Nagar,Street Food,3.4,200,No,No,1
Cool Point,Koramangala 5th Block,"Juices, Fast Food",3.2,100,No,No,2
Fahad Hotel,Jayanagar,Fast Food,3.3,200,No,No,1
Combo King Paramount,Jayanagar,"Chinese, Kerala",3.1,500,No,No,2
Krupa Sagar,Koramangala 5th Block,"North Indian, South Indian, Chinese, Street Food",3.2,300,No,No,4
Egg House,Koramangala 5th Block,"Continental, Italian, Fast Food",2.9,400,No,No,3
Dry Dock Cafe,Koramangala 5th Block,"Street Food, Tea",3.6,200,No,No,2
Rolls On Wheel,Koramangala 5th Block,"Fast Food, Rolls",3.0,300,No,No,2
Chowk Tea Stall,Koramangala 7th Block,"Street Food, Tea",3.4,100,No,No,2
Jayanthi Sagar,Koramangala 5th Block,"South Indian, North Indian, Chinese",3.1,200,No,No,3
Biryani Point,Bommanahalli,Biryani,3.2,250,No,No,1
Kakal-Kai Ruchi,JP Nagar,"Fast Food, North Indian, Chinese, South Indian",3.8,400,No,No,4
Sulaimani Chai,Koramangala 5th Block,"Fast Food, Beverages",3.8,100,No,No,2
Khan Saheb Grills and Rolls,Hosur Road,"Fast Food, Rolls",3.8,350,Yes,No,2
Sri Ganesh Juice Corner,Koramangala 5th Block,"Juices, Fast Food",3.0,150,No,No,2
Fandom at Gilly's Redefined,Koramangala 4th Block,Finger Food,3.9,1500,No,No,1
A Bar,HSR,"North Indian, Continental",3.3,600,No,No,2
BBQ@52,MG Road,"BBQ, Biryani, Continental",3.7,1500,No,Yes,3
Konark Vegetarian Restaurant,Residency Road,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",4.1,500,No,No,6
Mynt - The Taj West End,Race Course Road,"Italian, North Indian, Lebanese",4.1,2500,No,Yes,3
Red Onion,Shanti Nagar,"Chinese, North Indian, Biryani, Kebab",4.2,1200,Yes,Yes,4
One Atria Cafe,Race Course Road,"South Indian, Continental, North Indian",3.8,1600,No,Yes,3
Coastal Creek,Vasanth Nagar,"North Indian, Continental, South Indian",3.3,600,No,No,3
BLOW,Church Street,"Cafe, Continental, American, Burger",4.3,750,Yes,Yes,4
Matteo Coffea,Church Street,Cafe,4.4,600,No,No,1
Starbucks,Church Street,"Cafe, Desserts",4.1,700,No,No,2
Cafe Coffee Day The Square,Lavelle Road,Cafe,4.1,1100,No,No,1
The Culinarium,Vasanth Nagar,"Cafe, Desserts, Beverages",4.0,1100,No,No,3
BanBay,Vasanth Nagar,"Cafe, Modern Indian, Pizza, Burger, Desserts",4.0,1100,No,No,5
Behrouz Biryani,Vasanth Nagar,Biryani,4.1,650,Yes,No,1
Eat At Nite,Frazer Town,"North Indian, Chinese, Rolls",3.1,400,Yes,No,3
Smally's Resto Cafe,Ulsoor,"Cafe, Italian, Burger, American, Steak",4.1,650,Yes,Yes,5
Domino's Pizza,Shanti Nagar,"Pizza, Fast Food",3.7,400,Yes,No,2
Kanteen 038,Indiranagar,"Tea, Beverages, Fast Food",4.0,200,Yes,No,3
Donne Biriyani House,Indiranagar,Biryani,4.1,300,Yes,No,1
Pathaan Sir,Indiranagar,"Fast Food, Rolls, Momos",3.3,250,Yes,No,3
Meghana Foods,Residency Road,"Biryani, Seafood, Andhra, North Indian",4.3,600,Yes,No,4
Sweet Truth,Vasanth Nagar,"Bakery, Desserts",3.7,500,Yes,No,2
WOW! Momo,Brigade Road,"Tibetan, Momos",3.7,400,Yes,No,2
New Alameen Restaurant,Ulsoor,"Kerala, North Indian, Chinese",3.4,300,Yes,No,3
Shahi Family Restaurant,Ulsoor,"North Indian, Chinese, South Indian",3.3,350,Yes,No,3
Punjabi Dhaba,Ejipura,"North Indian, Chinese",3.4,350,Yes,No,2
McDonald's,Ulsoor,"Burger, Fast Food",3.8,500,Yes,No,2
Mandarin Box,Church Street,Chinese,4.0,500,No,No,1
Lassi Shop,Church Street,"Beverages, Ice Cream",3.9,200,No,No,2
Keventers,Commercial Street,"Desserts, Beverages, Ice Cream",3.8,400,Yes,No,3
Caferia,Frazer Town,"Fast Food, Street Food",3.3,200,Yes,No,2
Maravanthe,Indiranagar,"Seafood, Mangalorean",4.4,1000,Yes,Yes,2
Hatti Kaapi,Brigade Road,"South Indian, Beverages",3.9,200,Yes,No,2
Subway,Brigade Road,"Healthy Food, Fast Food",3.3,500,Yes,No,2
NH7 Refuel,Ulsoor,"North Indian, Chinese, Biryani",3.4,400,Yes,No,3
Kanti Sweets,Cunningham Road,"Mithai, Street Food",3.6,400,Yes,No,2
Mangalore pearl - Seafood Restaurant,Frazer Town,"Mangalorean, Seafood",4.3,700,Yes,No,2
Gelato Italiano,Ulsoor,"Ice Cream, Bakery, Desserts",2.9,200,Yes,No,3
Chung's Chinese Corner,Indiranagar,Chinese,2.7,700,Yes,No,1
Chai Point,Cunningham Road,"Tea, Beverages, Fast Food",3.8,250,No,No,3
Zaks Mediterranean Cuisine,Frazer Town,"Mediterranean, Arabian, Lebanese",3.9,700,Yes,No,3
Mad Over Biryani,Church Street,"North Indian, Biryani",2.9,600,Yes,No,2
Sri Krishna Sweets,Indiranagar,Mithai,3.8,250,Yes,No,1
Fullyfilled,Indiranagar,"Sandwich, Fast Food, Momos",4.0,200,Yes,No,3
The Yogisthaan Cafe,Indiranagar,"Cafe, Healthy Food, Salad, Beverages",4.2,600,Yes,No,4
Millers 46,Vasanth Nagar,"American, Continental, Steak",4.4,1100,No,Yes,3
Samrat Restaurant,Race Course Road,"South Indian, North Indian",4.1,600,No,No,2
CAMP TANDOOR,Ulsoor,North Indian,3.7,300,Yes,No,1
Raidan Restaurant,Frazer Town,"Arabian, Chinese, Fast Food",3.9,600,No,No,3
Nandhini Deluxe,Frazer Town,North Indian,3.6,600,No,No,1
Aroma Of Asia,Frazer Town,"Fast Food, Momos",3.9,400,No,No,2
Rolls On Wheels,Cunningham Road,"Fast Food, Rolls, Momos",3.7,200,No,No,3
Grand Spicy Restaurant,Cunningham Road,"North Indian, Mughlai, Chinese",3.6,700,No,No,3
Lickity Garden,Frazer Town,"Continental, Mexican, Biryani, Italian, Chinese, Arabian, Steak",3.2,750,Yes,No,7
China Hut,Frazer Town,Chinese,3.8,500,No,No,1
Shanthi Sagar Deluxe,Frazer Town,"South Indian, North Indian, Fast Food",2.7,500,No,No,3
Spicy Restaurant,Vasanth Nagar,"North Indian, Chinese",3.0,400,No,No,2
Kinara Tiffany,Vasanth Nagar,South Indian,3.6,100,No,No,1
Painted Platters,Ulsoor,"Bakery, Desserts",3.9,300,No,No,2
Little Paramount Restaurants,Vasanth Nagar,"Mughlai, North Indian",3.6,400,No,No,2
Goli Vada Pav NO.1,MG Road,Street Food,3.4,200,No,No,1
Baskin Robbins,Vasanth Nagar,"Ice Cream, Desserts",3.1,250,No,No,2
Khan Saheb Grills and Rolls,Commercial Street,"Fast Food, Rolls",3.9,350,Yes,No,2
Cafe Coffee Day,Lavelle Road,"Cafe, Fast Food",2.9,650,Yes,No,2
Rotti Mane,Indiranagar,South Indian,3.6,200,Yes,No,1
Sunny Side Bistro,Frazer Town,"Cafe, Continental",3.8,700,Yes,No,2
Kadamba Foodline,Ulsoor,"Chinese, North Indian, South Indian, Street Food",3.7,400,Yes,No,4
Chung Wah,Frazer Town,"Chinese, Thai, Momos, Vietnamese",3.9,800,Yes,No,4
Ganesh Food Joint,Frazer Town,"South Indian, North Indian, Chinese",3.7,200,Yes,No,3
A2B - Adyar Ananda Bhavan,Ulsoor,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.9,400,Yes,No,5
Tasty King,RT Nagar,"South Indian, North Indian, Chinese",3.4,400,Yes,No,3
Ramji Chaiwale,Ulsoor,"Beverages, Fast Food",3.7,250,Yes,No,2
Shree Sadguru Refreshment,Ulsoor,"South Indian, Chinese",3.2,400,No,No,2
Oye Amritsar,Church Street,North Indian,4.1,600,Yes,Yes,1
Baahubelly,Brigade Road,"South Indian, North Indian",3.7,500,Yes,No,2
Smokie Brownie,Brigade Road,Cafe,3.2,600,No,No,1
Lazeez Xpress,Vasanth Nagar,"North Indian, Mughlai, Biryani",3.4,650,Yes,No,3
Roll Er Dokaan,Brigade Road,"Street Food, Rolls",3.2,300,Yes,No,2
Chowmein,Seshadripuram,"North Indian, Chinese, Thai, Momos",4.0,600,Yes,No,4
Curries And Pickles,Indiranagar,"Andhra, North Indian, Biryani",3.8,250,Yes,No,3
Ambur Hot Dum Biryani,Ulsoor,Biryani,3.2,300,No,No,1
Sri Rama,Shivajinagar,South Indian,3.2,200,No,No,1
Cool Corner Arun Ice Cream,Frazer Town,"Desserts, Ice Cream",3.5,200,No,No,2
Chung Shan Chinese Restaurant,Ejipura,"Chinese, Momos",3.7,500,No,No,2
Arina's,Frazer Town,"Fast Food, Chinese",3.3,250,No,No,2
Desi Vdesi,Church Street,"Fast Food, North Indian, Rolls",3.9,250,Yes,No,3
Debby's Kitchen,Frazer Town,"Modern Indian, American, Chinese",3.6,250,Yes,No,3
Indian Spice Food,Ulsoor,"North Indian, Chinese",3.7,300,Yes,No,2
Kadai Crust - Amma Veetu Samayal,Indiranagar,"Chettinad, South Indian, Biryani",3.8,700,No,No,3
Baskin Robbins,Church Street,"Ice Cream, Desserts",3.5,250,Yes,No,2
Keventers,Lavelle Road,"Desserts, Beverages, Ice Cream",3.9,400,No,No,3
Sreeraj Lassi Bar,Shivajinagar,"Beverages, Desserts",3.9,150,Yes,No,2
Sweet Truth,Residency Road,"Bakery, Desserts",4.0,500,Yes,No,2
